,Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg,One
132,Niemcy,Callahan,2004-01-16,10380,1313.82,1
144,Niemcy,Fuller,2004-01-01,10392,1440.0,1
145,Niemcy,Davolio,2004-01-03,10393,2556.95,1
146,Niemcy,Davolio,2004-01-03,10394,442.0,1
147,Polska,Sowiński,2004-01-03,10395,2122.92,1
148,Niemcy,Davolio,2004-01-06,10396,1903.8,1
149,Polska,Kowalski,2004-01-02,10397,716.72,1
150,Niemcy,Fuller,2004-01-09,10398,2505.6,1
151,Niemcy,Callahan,2004-01-08,10399,1765.6,1
152,Niemcy,Davolio,2004-01-16,10400,3063.0,1
153,Niemcy,Davolio,2004-01-10,10401,3868.6,1
154,Niemcy,Callahan,2004-01-10,10402,2713.5,1
155,Niemcy,Peacock,2004-01-09,10403,855.01,1
156,Niemcy,Fuller,2004-01-08,10404,1591.25,1
157,Niemcy,Davolio,2004-01-22,10405,400.0,1
158,Polska,King,2004-01-13,10406,1830.78,1
159,Niemcy,Fuller,2004-01-30,10407,1194.0,1
160,Niemcy,Callahan,2004-01-14,10408,1622.4,1
161,Niemcy,Leverling,2004-01-14,10409,319.2,1
162,Niemcy,Leverling,2004-01-15,10410,802.0,1
163,Polska,Dudek,2004-01-21,10411,966.8,1
164,Niemcy,Callahan,2004-01-15,10412,334.8,1
165,Niemcy,Leverling,2004-01-16,10413,2123.2,1
166,Niemcy,Fuller,2004-01-17,10414,224.83,1
167,Niemcy,Leverling,2004-01-24,10415,102.4,1
168,Niemcy,Callahan,2004-01-27,10416,720.0,1
169,Niemcy,Peacock,2004-01-28,10417,11188.4,1
170,Niemcy,Peacock,2004-01-24,10418,1814.8,1
171,Niemcy,Peacock,2004-01-30,10419,2097.6,1
172,Niemcy,Leverling,2004-01-27,10420,1707.84,1
173,Niemcy,Callahan,2004-01-27,10421,1194.27,1
174,Niemcy,Fuller,2004-01-31,10422,49.8,1
175,Polska,Sowiński,2004-02-24,10423,1020.0,1
176,Polska,King,2004-01-27,10424,9194.56,1
177,Polska,Sowiński,2004-02-14,10425,360.0,1
178,Niemcy,Peacock,2004-02-06,10426,338.2,1
179,Niemcy,Peacock,2004-03-03,10427,651.0,1
180,Polska,King,2004-02-04,10428,192.0,1
181,Niemcy,Leverling,2004-02-07,10429,1441.37,1
182,Niemcy,Peacock,2004-02-03,10430,4899.2,1
183,Niemcy,Peacock,2004-02-07,10431,1892.25,1
184,Niemcy,Leverling,2004-02-07,10432,485.0,1
185,Niemcy,Leverling,2004-03-04,10433,851.2,1
186,Niemcy,Leverling,2004-02-13,10434,321.12,1
187,Niemcy,Callahan,2004-02-07,10435,631.6,1
188,Niemcy,Leverling,2004-02-11,10436,1994.52,1
189,Niemcy,Callahan,2004-02-12,10437,393.0,1
190,Niemcy,Leverling,2004-02-14,10438,454.0,1
191,Polska,Sowiński,2004-02-10,10439,1078.0,1
192,Niemcy,Peacock,2004-02-28,10440,4924.13,1
193,Niemcy,Leverling,2004-03-14,10441,1755.0,1
194,Niemcy,Leverling,2004-02-18,10442,1792.0,1
195,Niemcy,Callahan,2004-02-14,10443,517.44,1
196,Niemcy,Leverling,2004-02-21,10444,1031.7,1
197,Niemcy,Leverling,2004-02-20,10445,174.9,1
198,Polska,Sowiński,2004-02-19,10446,246.24,1
199,Niemcy,Peacock,2004-03-07,10447,914.4,1
200,Niemcy,Peacock,2004-02-24,10448,443.4,1
201,Niemcy,Leverling,2004-02-27,10449,1838.2,1
202,Niemcy,Callahan,2004-03-11,10450,425.12,1
203,Niemcy,Peacock,2004-03-12,10451,3849.66,1
204,Niemcy,Callahan,2004-02-26,10452,2018.5,1
205,Niemcy,Davolio,2004-02-26,10453,407.7,1
206,Niemcy,Peacock,2004-02-25,10454,331.2,1
207,Niemcy,Callahan,2004-03-03,10455,2684.0,1
208,Niemcy,Callahan,2004-02-28,10456,557.6,1
209,Niemcy,Fuller,2004-03-03,10457,1584.0,1
210,Polska,King,2004-03-04,10458,3891.0,1
211,Niemcy,Peacock,2004-02-28,10459,1659.2,1
212,Niemcy,Callahan,2004-03-03,10460,176.1,1
213,Niemcy,Davolio,2004-03-05,10461,1538.7,1
214,Niemcy,Fuller,2004-03-18,10462,156.0,1
215,Polska,Kowalski,2004-03-06,10463,713.3,1
216,Niemcy,Peacock,2004-03-14,10464,1609.28,1
217,Niemcy,Davolio,2004-03-14,10465,2518.0,1
218,Niemcy,Peacock,2004-03-13,10466,216.0,1
219,Niemcy,Callahan,2004-03-11,10467,235.2,1
220,Niemcy,Leverling,2004-03-12,10468,717.6,1
221,Niemcy,Davolio,2004-03-14,10469,956.67,1
222,Niemcy,Peacock,2004-03-14,10470,1820.8,1
223,Niemcy,Fuller,2004-03-18,10471,1328.0,1
224,Niemcy,Callahan,2004-03-19,10472,1036.8,1
225,Niemcy,Davolio,2004-03-21,10473,230.4,1
226,Polska,Kowalski,2004-03-21,10474,1249.1,1
227,Polska,Dudek,2004-04-04,10475,1505.18,1
228,Niemcy,Callahan,2004-03-24,10476,180.48,1
229,Polska,Kowalski,2004-03-25,10477,558.0,1
230,Niemcy,Fuller,2004-03-26,10478,471.2,1
231,Niemcy,Leverling,2004-03-21,10479,10495.6,1
232,Polska,Sowiński,2004-03-24,10480,756.0,1
233,Niemcy,Callahan,2004-03-25,10481,1472.0,1
234,Niemcy,Davolio,2004-04-10,10482,147.0,1
235,Polska,King,2004-04-25,10483,668.8,1
236,Niemcy,Leverling,2004-04-01,10484,386.2,1
237,Niemcy,Peacock,2004-03-31,10485,1584.0,1
238,Niemcy,Davolio,2004-04-02,10486,1272.0,1
239,Niemcy,Fuller,2004-03-28,10487,889.7,1
240,Niemcy,Callahan,2004-04-02,10488,1512.0,1
241,Polska,Sowiński,2004-04-09,10489,439.2,1
242,Polska,King,2004-04-03,10490,3163.2,1
243,Niemcy,Callahan,2004-04-08,10491,259.5,1
244,Niemcy,Leverling,2004-04-11,10492,851.2,1
245,Niemcy,Peacock,2004-04-10,10493,608.4,1
246,Niemcy,Peacock,2004-04-09,10494,912.0,1
247,Niemcy,Leverling,2004-04-11,10495,278.0,1
248,Polska,King,2004-04-07,10496,190.0,1
249,Polska,King,2004-04-07,10497,1380.6,1
250,Niemcy,Callahan,2004-04-11,10498,575.0,1
251,Niemcy,Peacock,2004-04-16,10499,1412.0,1
252,Polska,Sowiński,2004-04-17,10500,523.26,1
253,Polska,Dudek,2004-04-16,10501,149.0,1
254,Niemcy,Fuller,2004-04-29,10502,816.3,1
255,Polska,Sowiński,2004-04-16,10503,2048.5,1
256,Niemcy,Peacock,2004-04-18,10504,1388.5,1
